Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget
P001,Twitter,23-12-2024,Reel,Check out our latest reel on twitter!,1461.00,184.00,344.00,21915.00,21675.00,15.00,#LiveForNow,SummerSplash,1989.00,9.08%,No Campaign,,,
P001,Twitter,23-12-2024,Reel,Check out our latest reel on twitter!,1461.00,184.00,344.00,21915.00,21675.00,15.00,#AnytimeIsPepsiTime,SummerSplash,1989.00,9.08%,No Campaign,,,
P002,Twitter,03-04-2025,Text,Check out our latest text on twitter!,4054.00,389.00,493.00,64864.00,64383.00,117.00,#PepsiCoRefresh,FestiveRadiance,4936.00,7.61%,No Campaign,,,
P002,Twitter,03-04-2025,Text,Check out our latest text on twitter!,4054.00,389.00,493.00,64864.00,64383.00,117.00,#BetterWithPepsi,FestiveRadiance,4936.00,7.61%,No Campaign,,,
P003,YouTube,12-05-2025,Reel,Check out our latest reel on youtube!,2795.00,105.00,49.00,53105.00,52307.00,204.00,#PepsiCoRefresh,NewYearRefresh,2949.00,5.55%,No Campaign,,,
P004,Instagram,12-08-2024,Story,Check out our latest story on instagram!,2404.00,363.00,138.00,19232.00,18636.00,128.00,#ThirstyForMore,DailyWellness,2905.00,15.11%,No Campaign,,,
P005,YouTube,26-06-2024,Reel,Check out our latest reel on youtube!,3557.00,687.00,424.00,71140.00,70701.00,224.00,#ThirstyForMore,SummerSplash,4668.00,6.56%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P005,YouTube,26-06-2024,Reel,Check out our latest reel on youtube!,3557.00,687.00,424.00,71140.00,70701.00,224.00,#PepsiCoRefresh,SummerSplash,4668.00,6.56%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P006,Facebook,31-10-2024,Carousel,Check out our latest carousel on facebook!,2945.00,930.00,355.00,23560.00,23275.00,256.00,#PepsiCoRefresh,FestiveRadiance,4230.00,17.95%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P007,Twitter,24-06-2024,Carousel,Check out our latest carousel on twitter!,3860.00,201.00,279.00,61760.00,61660.00,235.00,#PepsiCoRefresh,FestiveRadiance,4340.00,7.03%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P008,YouTube,13-07-2024,Image,Check out our latest image on youtube!,3929.00,262.00,278.00,43219.00,42841.00,39.00,#ThirstyForMore,DailyWellness,4469.00,10.34%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P009,Facebook,30-08-2024,Text,Check out our latest text on facebook!,3784.00,808.00,404.00,56760.00,56343.00,131.00,#PepsiCoRefresh,FestiveRadiance,4996.00,8.80%,No Campaign,,,
P010,Facebook,11-03-2025,Image,Check out our latest image on facebook!,4241.00,902.00,47.00,72097.00,71598.00,167.00,#PepsiCoRefresh,FestiveRadiance,5190.00,7.20%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P011,Instagram,02-02-2025,Story,Check out our latest story on instagram!,1792.00,614.00,497.00,25088.00,24675.00,65.00,#LiveForNow,DailyWellness,2903.00,11.57%,No Campaign,,,
P012,Facebook,21-07-2024,Reel,Check out our latest reel on facebook!,1946.00,686.00,377.00,23352.00,22982.00,213.00,#LiveForNow,NewYearRefresh,3009.00,12.89%,No Campaign,,,
P013,YouTube,18-11-2024,Carousel,Check out our latest carousel on youtube!,1171.00,286.00,231.00,22249.00,21282.00,114.00,#ThirstyForMore,SummerSplash,1688.00,7.59%,No Campaign,,,
P014,Facebook,16-02-2025,Story,Check out our latest story on facebook!,4242.00,555.00,131.00,33936.00,33802.00,265.00,#LiveForNow,,4928.00,14.52%,No Campaign,,,
P015,Facebook,24-10-2024,Video,Check out our latest video on facebook!,3888.00,604.00,128.00,77760.00,77167.00,20.00,#LiveForNow,SummerSplash,4620.00,5.94%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P016,Facebook,26-08-2024,Text,Check out our latest text on facebook!,3452.00,377.00,360.00,55232.00,55075.00,87.00,#LiveForNow,NewYearRefresh,4189.00,7.58%,No Campaign,,,
P017,Facebook,05-05-2025,Text,Check out our latest text on facebook!,4441.00,511.00,70.00,53292.00,53082.00,159.00,#ThirstyForMore,DailyWellness,5022.00,9.42%,No Campaign,,,
P018,Instagram,19-08-2024,Reel,Check out our latest reel on instagram!,3000.00,382.00,325.00,36000.00,35819.00,19.00,#LiveForNow,SummerSplash,3707.00,10.30%,No Campaign,,,
P019,Instagram,23-06-2024,Video,Check out our latest video on instagram!,1071.00,519.00,22.00,16065.00,15865.00,103.00,#PepsiCoRefresh,DailyWellness,1612.00,10.03%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P020,Instagram,09-09-2024,Carousel,Check out our latest carousel on instagram!,4054.00,488.00,373.00,77026.00,76881.00,25.00,#PepsiCoRefresh,SummerSplash,4915.00,6.38%,No Campaign,,,
P021,Instagram,04-01-2025,Reel,Check out our latest reel on instagram!,4838.00,640.00,128.00,72570.00,72396.00,83.00,#LiveForNow,DailyWellness,5606.00,7.72%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P022,Facebook,27-02-2025,Text,Check out our latest text on facebook!,1570.00,187.00,260.00,25120.00,24613.00,133.00,#PepsiCoRefresh,DailyWellness,2017.00,8.03%,No Campaign,,,
P023,Facebook,06-11-2024,Video,Check out our latest video on facebook!,1606.00,547.00,316.00,32120.00,31736.00,225.00,#PepsiCoRefresh,FestiveRadiance,2469.00,7.69%,No Campaign,,,
P023,Facebook,06-11-2024,Video,Check out our latest video on facebook!,1606.00,547.00,316.00,32120.00,31736.00,225.00,#AnytimeIsPepsiTime,FestiveRadiance,2469.00,7.69%,No Campaign,,,
P024,Facebook,23-01-2025,Video,Check out our latest video on facebook!,3961.00,761.00,131.00,67337.00,66615.00,161.00,#LiveForNow,NewYearRefresh,4853.00,7.21%,No Campaign,,,
P025,Twitter,10-04-2025,Carousel,Check out our latest carousel on twitter!,3128.00,211.00,197.00,59432.00,59182.00,238.00,#ThirstyForMore,,3536.00,5.95%,No Campaign,,,
