Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget,Per-Post Budget
P001,Twitter,23-12-2024,Reel,Check out our latest reel on twitter!,1461,184,344,21915,21675,15,"#LiveForNow,#AnytimeIsPepsiTime",SummerSplash,1989,9.08%,No Campaign,#N/A,#N/A,#N/A,0
P002,Twitter,03-04-2025,Text,Check out our latest text on twitter!,4054,389,493,64864,64383,117,"#PepsiCoRefresh,#BetterWithPepsi",FestiveRadiance,4936,7.61%,No Campaign,#N/A,#N/A,#N/A,0
P003,YouTube,12-05-2025,Reel,Check out our latest reel on youtube!,2795,105,49,53105,52307,204,#PepsiCoRefresh,NewYearRefresh,2949,5.55%,No Campaign,#N/A,#N/A,#N/A,0
P004,Instagram,12-08-2024,Story,Check out our latest story on instagram!,2404,363,138,19232,18636,128,#ThirstyForMore,DailyWellness,2905,15.11%,No Campaign,#N/A,#N/A,#N/A,0
P005,YouTube,26-06-2024,Reel,Check out our latest reel on youtube!,3557,687,424,71140,70701,224,"#ThirstyForMore,#PepsiCoRefresh",SummerSplash,4668,6.56%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P006,Facebook,31-10-2024,Carousel,Check out our latest carousel on facebook!,2945,930,355,23560,23275,256,#PepsiCoRefresh,FestiveRadiance,4230,17.95%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P007,Twitter,24-06-2024,Carousel,Check out our latest carousel on twitter!,3860,201,279,61760,61660,235,#PepsiCoRefresh,FestiveRadiance,4340,7.03%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P008,YouTube,13-07-2024,Image,Check out our latest image on youtube!,3929,262,278,43219,42841,39,#ThirstyForMore,DailyWellness,4469,10.34%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P009,Facebook,30-08-2024,Text,Check out our latest text on facebook!,3784,808,404,56760,56343,131,#PepsiCoRefresh,FestiveRadiance,4996,8.80%,No Campaign,#N/A,#N/A,#N/A,0
P010,Facebook,11-03-2025,Image,Check out our latest image on facebook!,4241,902,47,72097,71598,167,#PepsiCoRefresh,FestiveRadiance,5190,7.20%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P011,Instagram,02-02-2025,Story,Check out our latest story on instagram!,1792,614,497,25088,24675,65,#LiveForNow,DailyWellness,2903,11.57%,No Campaign,#N/A,#N/A,#N/A,0
P012,Facebook,21-07-2024,Reel,Check out our latest reel on facebook!,1946,686,377,23352,22982,213,#LiveForNow,NewYearRefresh,3009,12.89%,No Campaign,#N/A,#N/A,#N/A,0
P013,YouTube,18-11-2024,Carousel,Check out our latest carousel on youtube!,1171,286,231,22249,21282,114,#ThirstyForMore,SummerSplash,1688,7.59%,No Campaign,#N/A,#N/A,#N/A,0
P014,Facebook,16-02-2025,Story,Check out our latest story on facebook!,4242,555,131,33936,33802,265,#LiveForNow,,4928,14.52%,No Campaign,#N/A,#N/A,#N/A,0
P015,Facebook,24-10-2024,Video,Check out our latest video on facebook!,3888,604,128,77760,77167,20,#LiveForNow,SummerSplash,4620,5.94%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P016,Facebook,26-08-2024,Text,Check out our latest text on facebook!,3452,377,360,55232,55075,87,#LiveForNow,NewYearRefresh,4189,7.58%,No Campaign,#N/A,#N/A,#N/A,0
P017,Facebook,05-05-2025,Text,Check out our latest text on facebook!,4441,511,70,53292,53082,159,#ThirstyForMore,DailyWellness,5022,9.42%,No Campaign,#N/A,#N/A,#N/A,0
